date,open,high,low,close,volume,dividend,ratio
2000-01-03,32.12,32.5,30.5,30.56,441000.0,0.0,1.0
2000-01-04,30.5,30.94,30.31,30.44,490600.0,0.0,1.0
2000-01-05,30.31,30.38,29.88,30.06,577400.0,0.0,1.0
2000-01-06,29.75,29.94,28.94,29.06,489600.0,0.0,1.0
2000-01-07,29.06,31.13,29.06,30.44,472100.0,0.0,1.0
2000-01-10,31.5,31.63,30.56,30.69,355100.0,0.0,1.0
2000-01-11,30.94,30.94,30.06,30.06,648700.0,0.0,1.0
2000-01-12,29.94,30.0,29.5,29.81,445500.0,0.0,1.0
2000-01-13,29.69,30.5,29.56,30.0,224300.0,0.0,1.0
2000-01-14,30.0,30.31,29.63,29.75,546400.0,0.0,1.0
2000-01-18,29.5,30.44,29.25,29.63,341900.0,0.0,1.0
2000-01-19,29.75,30.25,29.69,30.13,240500.0,0.0,1.0
2000-01-20,30.0,30.06,29.0,29.06,375400.0,0.0,1.0
2000-01-21,29.31,29.31,28.0,28.25,516500.0,0.0,1.0
2000-01-24,28.19,28.44,27.75,27.75,384600.0,0.0,1.0
2000-01-25,27.63,28.31,27.38,27.88,361200.0,0.0,1.0
2000-01-26,26.75,28.0,26.75,27.63,600700.0,0.0,1.0
2000-01-27,27.5,27.69,26.69,27.0,441300.0,0.0,1.0
2000-01-28,26.75,27.13,26.19,26.19,384800.0,0.0,1.0
2000-01-31,26.25,26.5,26.13,26.25,329400.0,0.0,1.0
2000-02-01,26.13,27.06,26.13,26.31,564300.0,0.0,1.0
2000-02-02,26.06,26.25,25.63,25.81,512200.0,0.0,1.0
2000-02-03,25.81,26.94,25.13,26.56,428900.0,0.0,1.0
2000-02-04,26.5,27.13,26.5,26.63,388000.0,0.0,1.0
2000-02-07,26.25,26.25,25.25,25.38,163100.0,0.0,1.0
2000-02-08,25.38,25.63,24.5,25.19,575300.0,0.0,1.0
2000-02-09,25.63,25.75,23.88,24.0,796600.0,0.0,1.0
2000-02-10,24.0,24.25,23.38,24.06,1114300.0,0.0,1.0
2000-02-11,24.0,24.13,23.25,23.25,1216000.0,0.0,1.0
2000-02-14,23.25,23.5,23.06,23.38,237300.0,0.0,1.0
2000-02-15,23.31,23.63,23.06,23.38,382100.0,0.0,1.0
